Item_Code,Item,CPC_Code,Element_Code,Element,Unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,,,,,,,4456,4991,4612,4576,4727,4688,4391,4191,3834,3211,5416,3875,3720,5440,6010
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,,,,,,,83482,94593,98676,99987,95587,80645,78508,68467,73492,66032,71014,62033,71158,65008,66926
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,8167,11246,10738,10927,10700,9934,9333,9210,9171,9096,9390,9066,8585,8060,8593,9180,9529,9643,9960,10250,10340
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,275360,285250,305388,275170,280931,267156,286979,287977,285037,261801,281634,272282,262280,249973,257670,267877,278362,281536,277310,263750,254510
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,754300,645700,703800,722900,618000,561800,567400,546100,479700,453500,427700,399100,388500,427800,412700,384000,376000,363500,358900,369500,345400
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,705000,645000,694000,699000,719000,762000,847281,882000,862000,833000,908000,936000,885000,847000,877000,885000,915000,905000,922000,914000,932000
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,128394,137831,139895,137203,134378,132763,135336,133453,135960,142182,143475,144490,144922,143600,143854,141909,144456,139744,147971,144899,143663
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,149810,143190,146480,140400,142420,135940,137410,133540,128790,139830,137800,137880,125340,125880,131620,143980,131250,132070,138420,141150,142520
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,651093,650841,678838,706369,713886,715329,670048,620166,658332,598431,606596,604113,591319,580840,585218,626104,637013,643861,669010,695170,677740
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,47950,38175,41640,32885,25580,26385,21413,22989,19862,17672,15611,13177,13177,11721,11597,10711,10261,10534,10670,10710,10920
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,34572,39159,40472,43136,40079,37382,37908,36203,36943,35260,35772,35571,33089,32104,31566,33583,35656,35795,34870,35740,36500
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,1897900,1878600,1967400,2002300,1953900,1809200,1721500,1699200,1768716,1740628,1727311,1625469,1641519,1633258,1654135,1649373,1588769,1569267,1608136,1625163,1633742
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,162000,144558,156106,185400,161618,190196,159313,164642,149660,155199,154464,142306,114464,96179,107581,118851,116177,110991,78760,73730,87490
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,100787,96312,106638,105772,119260,119019,106087,91743,108540,102995,93159,96003,92988,84011,79843,88645,90704,91187,93790,92030,97780
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,348500,316300,281300,317400,310500,309500,362900,379500,393400,396900,400900,391200,382900,373900,446300,486700,512000,569200,564840,560500,559460
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,108161,106045,109494,108126,96660,81031,79187,79328,80020,77026,74259,72125,66060,65322,66151,69014,72794,67714,72940,74450,74300
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,90568,85806,85637,85314,86572,87393,87643,84678,86447,84787,83508,81638,77982,83696,78732,79672,81676,85196,89396,87008,86126
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,6300,6900,6738,8691,8824,7604,7132,7121,7018,7307,7100,5301,4981,5485,5522,4875,3962,4636,4381,4083,3886
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,471000,372000,384000,365000,386000,396008,384000,385571,378383,401752,388610,381559,373531,379100,376180,382520,416060,440639,459210,424300,432840
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,17979,15580,16106,16300,16024,15641,14975,15178,10584,11046,10158,9676,9509,8288,8220,8419,9513,7609,8052,7628,7881
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,1608,1536,1636,1408,1290,1390,1398,1386,1479,1543,1422,1128,1111,1134,1129,1032,1151,1117,1070,1030,1140
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,75411,47331,44732,43230,47600,52891,47323,55977,47539,45114,43717,41980,40902,37709,40240,45102,43319,41917,41670,44180,43410
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,22342,19044,16043,21193,21587,20444,20684,22755,21445,20452,18414,18015,17312,16688,17659,18769,19468,18450,17480,16370,16030
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,1153402,1134083,1135791,1128221,1148278,1108062,1110299,1122591,1059314,1055003,1075333,1011018,981660,853980,709427,788277,809656,756421,831548,801097,752609
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,576900,579400,540000,568000,563600,546000,537300,580800,537300,514500,559100,547100,495400,517600,582100,564100,588400,617000,622540,619800,633380
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,3626,3683,3639,3624,3611,3540,3196,3557,3607,3761,3895,3858,4114,4082,3495,3605,4387,4614,4775,4826,4652
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,27854,25570,26602,28150,31507,32800,36230,33400,35700,36800,37500,36200,47100,47400,44300,42000,44709,42562,43780,45430,43370
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,66940,51600,47620,39173,37513,32241,33303,34258,32121,30149,27598,26432,25394,23457,24080,27315,28939,28162,30180,30820,29150
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,70129,74950,73158,74428,77128,72555,72988,75897,72517,74104,72097,69983,69639,68951,49393,40518,40351,42917,40478,34134,35434
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,16300,13700,16000,17700,19313,23583,22378,23809,26335,23363,23390,22424,22900,16415,11429,22849,15958,15530,11509,11802,14465
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,1303500,1361500,1316375,1226235,1258000,1166900,1193180,1185724,1199431,1189615,1205002,1170376,1146255,1116507,1142603,1132340,1155483,1137008,1109000,1107000,1091000
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,1527600,1561442,1646277,1632047,1577971,1546741,1486675,1502561,1502901,1515808,1530258,1566806,1493865,1400331,1410854,1447906,1466099,1432780,1460000,1428460,1434590
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,91430,89770,90730,95820,93290,86710,87150,88570,81900,82050,83040,83500,81180,81190,83069,86490,86720,86080,87060,87760,87110
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,89,91,93,93,91,83,81,78,78,78,78,96,96,96,102,94,90,91,90,90,90
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,15383,14159,16508,13149,15242,13431,14829,15422,14277,14172,12926,12187,12275,11481,9800,12600,14800,11900,9760,9250,9580
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,212500,230900,226500,211400,223800,255800,271800,274400,268900,307900,308100,297800,293000,315700,295500,339000,327200,317300,326000,328000,340500
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,153900,153400,153500,146500,150000,135921,128650,129986,128800,127900,132500,134200,126700,128000,125759,120491,129340,124148,130200,125600,122430
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,60700,21650,23804,28727,30887,30025,22989,21778,20029,22040,19809,20991,20684,19366,17632,18666,17638,17373,17209,18355,17048
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,203489,215240,211855,207737,206103,204468,216478,217784,224231,226294,226677,222168,222156,228913,223193,229648,228335,226859,233460,229610,218360
1806,Beef and Buffalo Meat,F1806,5510,Production,tonnes,35900,35300,37600,40000,39600,40800,48651,49775,39600,39000,40800,41200,41460,41820,38070,38556,38880,39017,38544,36709,32870
866,Cattle,'02111,5111,Stocks,Head,,,,,,,117482,114922,109378,106494,100835,85844,87173,84701,89058,92452,89269,86649,83264,81400,80018
866,Cattle,'02111,5111,Stocks,Head,,,,,,,1106000,1087077,1057435,1002295,938038,936570,920762,913144,920068,915641,892751,898650,878336,898178,886127
866,Cattle,'02111,5111,Stocks,Head,205072,205193,197257,189674,186725,185235,183640,191928,195661,196470,198892,192535,188473,193623,198780,201036,201416,202281,194390,192100,190690
866,Cattle,'02111,5111,Stocks,Head,3041560,3037760,2891260,2778077,2738648,2698649,2669076,2649392,2605532,2600453,2593000,2560319,2484272,2454704,2477236,2503262,2501349,2385988,2398090,2373100,2335440
866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,
866,Cattle,'02111,5111,Stocks,Head,10626500,9423700,9421100,9108400,7712100,6902900,6514100,6175400,5490900,5079000,4826700,4494400,4425800,4645900,4397700,3884000,3750000,3682300,3530800,3332900,3092000
866,Cattle,'02111,5111,Stocks,Head,11133000,10600000,10343000,10517000,10551000,10770200,10579000,10304000,10107000,10025000,10112000,9933000,9900000,9844000,9837000,9919000,10033000,10004000,9892000,9739000,9615000
866,Cattle,'02111,5111,Stocks,Head,1588005,1611351,1593697,1570178,1544547,1554696,1566900,1571764,1604287,1597484,1591233,1577407,1564631,1557474,1562801,1554319,1555396,1544612,1543345,1524820,1515023
866,Cattle,'02111,5111,Stocks,Head,1683700,1651500,1637465,1606674,1628464,1604933,1590409,1559725,1558381,1538281,1536700,1511846,1500293,1496526,1493119,1428400,1436050,1448590,1435450,1404670,1390960
866,Cattle,'02111,5111,Stocks,Head,6216883,6410780,6477895,6548379,6653087,6463430,6184092,6584980,6020200,6082400,6075100,5923200,5812600,5696910,6078700,6182908,6257057,6465747,6510590,6600330,6636430
866,Cattle,'02111,5111,Stocks,Head,665055,646148,625190,607835,593182,540146,527889,507820,501817,488381,471965,467125,463358,471091,467820,465543,457586,446112,438860,432250,442290
866,Cattle,'02111,5111,Stocks,Head,471425,493670,477075,473242,450226,451136,452517,454033,479581,469983,472878,470151,462300,460063,460576,468253,484192,488598,476810,483070,485610
866,Cattle,'02111,5111,Stocks,Head,28060323,27519840,27390195,26846084,25091098,23153790,21625028,21561609,21546025,21038029,20671328,19967864,20111029,19930354,19563964,19263687,18620932,18346089,18294228,18151394,18126003
866,Cattle,'02111,5111,Stocks,Head,3051000,2870000,2800000,2878000,2897000,2808000,2862000,2934000,2819000,2684000,2512300,2001105,1988939,2009135,2022408,2068888,2092414,2049700,1977200,1923300,1910900
866,Cattle,'02111,5111,Stocks,Head,1421000,1414000,1404000,1395000,1389000,1443000,1440800,1452000,1491000,1495000,1447000,1503000,1497500,1471000,1549000,1606000,1635000,1670000,1632420,1674970,1691320
866,Cattle,'02111,5111,Stocks,Head,6082549,5734339,5532728,5488943,5353421,5483290,5606358,5696186,5756639,5700017,5742094,5761878,5776767,5859540,5920411,5960693,5939046,6143083,6183300,6261600,6278900
866,Cattle,'02111,5111,Stocks,Head,1573530,1582027,1520136,1473828,1428329,1397308,1373645,1391393,1401607,1363213,1349286,1343686,1353685,1352822,1373560,1407132,1415658,1421242,1365240,1367050,1340040
866,Cattle,'02111,5111,Stocks,Head,987915,978854,958661,956916,943208,933698,922976,905515,891170,878134,874529,864139,861924,853655,840000,853327,872145,885292,881881,872955,869136
866,Cattle,'02111,5111,Stocks,Head,270000,265000,259000,260000,255000,248185,255430,253766,253473,252521,259887,265299,251240,238333,241607,253442,254768,255036,256181,217790,222202
866,Cattle,'02111,5111,Stocks,Head,4070000,4047000,3858000,3759000,3767000,3799000,3749000,3763000,3890000,3967600,3975190,3885350,3879250,3999220,4169000,4315000,4294000,4030000,3690000,3721000,3691000
866,Cattle,'02111,5111,Stocks,Head,422969,394006,404845,409639,372838,330593,310476,299105,231716,217712,221622,215951,203875,191200,188862,191214,186116,182339,167423,144828,123713
866,Cattle,'02111,5111,Stocks,Head,19200,19200,19003,18770,17940,19408,19742,19233,19442,16264,14954,15074,15593,15220,14883,15020,14356,14184,14120,14000,14010
866,Cattle,'02111,5111,Stocks,Head,897800,748300,751700,779100,812100,792000,800300,838800,787900,770900,759400,748000,752400,729200,713500,736612,722602,694752,653500,634600,629500
866,Cattle,'02111,5111,Stocks,Head,378400,366700,384700,388100,378600,371100,385200,377100,398700,380200,378200,379500,380600,393100,406500,422019,419084,412314,395330,395320,398990
866,Cattle,'02111,5111,Stocks,Head,7162000,6050000,6739000,6504703,6504000,6304000,6255000,6117000,6283000,6179000,6103000,5832457,6091471,5846672,5756072,5781348,5929767,5949393,6311160,6377230,6400040
866,Cattle,'02111,5111,Stocks,Head,7037400,7049700,6992200,6999500,7015600,6991800,6977800,6890900,6902100,6890700,6606600,6493000,6754100,6902600,6926100,6963500,7221200,7363498,6593490,6559650,6529440
866,Cattle,'02111,5111,Stocks,Head,72135,70168,67225,66035,64639,65979,68670,70660,72012,73498,73781,72773,71513,68014,74444,78628,79923,80895,81385,80872,80643
866,Cattle,'02111,5111,Stocks,Head,426570,438423,417113,444320,465935,471025,482905,467077,453555,447000,444000,446555,452000,442000,441000,440092,444613,450757,414000,420000,423000
866,Cattle,'02111,5111,Stocks,Head,857000,805000,783000,770000,739000,723000,708000,702000,705000,701000,700000,682000,697000,760000,782000,802000,821000,852000,885000,909000,933000
866,Cattle,'02111,5111,Stocks,Head,601933,613060,621358,625854,620686,603993,617695,628885,623643,626301,627192,627132,622715,608964,599875,606705,608857,610690,542000,530000,539000
866,Cattle,'02111,5111,Stocks,Head,461928,440000,410000,440000,452895,459790,514869,467986,459218,457743,462368,455258,444595,446893,444000,454810,455191,444522,438006,429653,427461
866,Cattle,'02111,5111,Stocks,Head,14657901,14567737,14226600,13643703,13195800,13034500,12747900,12686644,12969674,12944903,12809492,12562600,12477389,12587020,12742190,12635456,12466586,12281195,11949090,11639530,11301860
866,Cattle,'02111,5111,Stocks,Head,21256247,21137970,20461291,19772441,19516224,19421068,19534688,19885156,20046940,19805378,19555173,19085561,19005649,19095797,19248627,19386522,19373382,18953568,18613040,18172970,17789250
866,Cattle,'02111,5111,Stocks,Head,1056700,1037400,1025400,1000200,969000,958925,949291,926694,915345,918268,925808,914053,912768,911847,914439,914717,909021,893178,859380,840740,835380
866,Cattle,'02111,5111,Stocks,Head,2306,2371,2398,2397,2342,2135,2069,2093,1981,2043,1990,1952,1899,1943,1917,1872,1831,1875,1841,1808,1778
866,Cattle,'02111,5111,Stocks,Head,267300,252800,260500,253900,257200,249800,249500,244800,240500,237900,234700,236300,238300,246000,261400,264700,248236,250900,251900,254000,253300
866,Cattle,'02111,5111,Stocks,Head,4326200,4220500,4084500,4005100,3924100,3962600,3980200,3988711,4006700,4130500,4151000,4151300,4247000,4367000,4363700,4356500,4298300,4361400,4340400,4294700,4292400
866,Cattle,'02111,5111,Stocks,Head,1867937,1906911,1796118,1724409,1645764,1570085,1534763,1566218,1564393,1540340,1571050,1567971,1606826,1614644,1563535,1551948,1568288,1545417,1530000,1500000,1500000
866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,
866,Cattle,'02111,5111,Stocks,Head,681661,639778,634466,691230,728336,671579,621797,628271,602056,564904,539555,544456,557641,526112,575584,552807,550201,557866,542120,527190,588910
866,Cattle,'02111,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,
866,Cattle,'02111,5111,Stocks,Head,2152811,2155447,2118454,2066942,2052033,2050991,2010680,2002919,2000196,1997209,2026260,2013281,1976527,1955618,1958282,1961201,1957610,1954391,1912810,1879520,1855430
866,Cattle,'02111,5111,Stocks,Head,728000,708400,690000,684000,654000,655000,634000,577000,541000,494000,493000,492000,498018,498131,499690,504200,492393,475215,467318,415609,362583
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,,,,,,,117482,114922,109378,106494,100835,85844,87173,84701,89058,92452,89269,86649,83264,81400,80018
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,,,,,,,1106000,1087077,1057435,1002295,938038,936570,920762,913144,920068,915641,892751,898650,878336,898178,886127
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,205072,205193,197257,189674,186725,185235,183640,191928,195661,196470,198892,192535,188473,193623,198780,201036,201416,202281,194390,192100,190690
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,3041560,3037760,2891260,2778077,2738648,2698649,2669076,2649392,2605532,2600453,2593000,2560319,2484272,2454704,2477236,2503262,2501349,2385988,2398090,2373100,2335440
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,10626500,9423700,9421100,9108400,7712100,6902900,6514100,6175400,5490900,5079000,4826700,4494400,4425800,4645900,4397700,3884000,3750000,3682300,3530800,3332900,3092000
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,11133000,10600000,10343000,10517000,10551000,10770200,10579000,10304000,10107000,10025000,10112000,9933000,9900000,9844000,9837000,9919000,10033000,10004000,9892000,9739000,9615000
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,1588005,1611351,1593697,1570178,1544547,1554696,1566900,1571764,1604287,1597484,1591233,1577407,1564631,1557474,1562801,1554319,1555396,1544612,1543345,1524820,1515023
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,1683700,1651500,1637465,1606674,1628464,1604933,1590409,1559725,1558381,1538281,1536700,1511846,1500293,1496526,1493119,1428400,1436050,1448590,1435450,1404670,1390960
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,6216883,6410780,6477895,6548379,6653087,6463430,6184092,6584980,6020200,6082400,6075100,5923200,5812600,5696910,6078700,6182908,6257057,6465747,6511720,6601300,6637390
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,665055,646148,625190,607835,593182,540146,527889,507820,501817,488381,471965,467125,463358,471091,467820,465543,457586,446112,438860,432250,442290
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,471425,493670,477075,473242,450226,451136,452517,454033,479581,469983,472878,470151,462300,460063,460576,468253,484192,488598,476810,483070,485610
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,28076823,27537210,27404199,26861947,25109041,23171078,21639390,21577263,21560388,21050824,20681868,19976608,20117609,19936356,19570608,19270594,18627203,18351751,18299539,18157729,18132385
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,3051000,2870000,2800000,2878000,2897000,2808000,2862000,2934000,2819000,2684000,2512300,2001105,1988939,2009135,2022408,2068888,2092414,2049700,1996100,1942300,1930800
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,1421000,1414000,1404000,1395000,1389000,1443000,1440800,1452000,1491000,1495000,1447000,1503000,1497500,1471000,1549000,1606000,1635000,1670000,1632420,1674970,1691320
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,6082549,5734339,5532728,5488943,5353421,5483290,5606358,5696186,5756639,5700017,5742094,5761878,5776767,5859540,5920411,5960693,5939046,6143083,6183300,6261600,6278900
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,1573530,1582027,1520136,1473828,1428329,1397308,1373645,1391393,1401607,1363213,1349286,1343686,1353685,1352822,1373560,1407132,1415658,1421242,1365240,1367050,1340040
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,987915,978854,958661,956916,943208,933698,922976,905515,891170,878134,874529,864139,861924,853655,840000,853327,872145,885292,881881,872955,869136
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,270725,265725,259600,260566,255565,248910,256180,254406,254113,253161,260527,265939,251890,238983,242257,254086,255403,255658,256808,218415,222825
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,4070000,4047000,3858000,3759000,3767000,3799000,3749000,3763000,3890000,3967600,3975190,3885350,3879250,3999220,4169000,4315000,4294000,4030000,3690000,3721000,3691000
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,422969,394006,404845,409639,372838,330593,310476,299105,231716,217712,221622,215951,203875,191200,188862,191214,186116,182339,167423,144828,123713
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,19200,19200,19003,18770,17940,19408,19742,19233,19442,16264,14954,15074,15593,15220,14883,15020,14356,14184,14120,14000,14010
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,897800,748300,751700,779100,812100,792000,800300,838800,787900,770900,759400,748000,752400,729200,713500,736612,722602,694752,653500,634600,629500
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,378400,366700,384700,388100,378600,371100,385200,377100,398700,380200,378200,379500,380600,393100,406500,422019,419084,412314,395330,395320,398990
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,7344000,6232000,6932774,6689703,6727393,6514000,6460000,6348000,6590149,6523007,6468086,6186859,6440332,6249331,6125424,6155806,6314888,6350185,6711950,6779520,6807070
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,7037400,7049700,6992200,6999500,7015600,6991800,6977800,6890900,6902100,6890700,6606600,6493000,6754100,6902600,6926100,6963500,7221200,7363498,6593490,6559650,6529440
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,72135,70168,67225,66035,64639,65979,68670,70660,72012,73498,73781,72773,71513,68014,74444,78628,79923,80895,81385,80872,80643
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,426570,438423,417113,444320,465935,471025,482905,467077,453555,447000,444000,446555,452000,442000,441000,440092,444613,450757,414000,420000,423000
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,857000,805000,783000,770000,739000,723000,708000,702000,705000,701000,700000,682000,697000,760000,782000,802000,821000,852000,892000,915000,940400
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,602810,614035,622367,626878,621796,605283,618932,630274,625286,628065,628977,628979,624852,611131,602214,611905,613390,615273,546000,534000,543000
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,461928,440000,410000,440000,452895,459790,514869,467986,459218,457743,462368,455258,444595,446893,444000,454810,455191,444522,438006,429653,427461
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,14657901,14567737,14226600,13643703,13195800,13034500,12747900,12686644,12969674,12944903,12813692,12567174,12482364,12592495,12748697,12643428,12474558,12289869,11958700,11649640,11312560
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,21256247,21137970,20461291,19772441,19516224,19421068,19534688,19885156,20046940,19805378,19555173,19085561,19005649,19095797,19248627,19386522,19373382,18953568,18613040,18172970,17789250
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,1056700,1037400,1025400,1000200,969000,958925,949291,926694,915345,918268,925808,914053,912768,911847,914439,914717,909021,893178,859380,840740,835380
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,2306,2371,2398,2397,2342,2135,2069,2093,1981,2043,1990,1952,1899,1943,1917,1872,1831,1875,1841,1808,1778
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,267300,252800,260500,253900,257200,249800,249500,244800,240500,237900,234700,236300,238300,246000,261400,264700,248236,250900,251900,254000,253300
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,4326200,4220500,4084500,4005100,3924100,3962600,3980200,3988711,4006700,4130500,4151000,4151300,4247000,4367000,4363700,4356500,4298300,4361400,4340400,4294700,4292400
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,1867937,1906911,1796118,1724409,1645764,1570085,1534763,1566218,1564393,1540340,1571050,1567971,1606826,1614644,1563535,1551948,1568288,1545417,1530000,1500000,1500000
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,690938,647568,640995,698719,736211,679552,629995,636518,611024,574126,547866,553697,567528,535324,585548,562362,561044,570139,557750,543920,609090
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,2152811,2155447,2118454,2066942,2052033,2050991,2010680,2002919,2000196,1997209,2026260,2013281,1976527,1955618,1958282,1961201,1957610,1954391,1912810,1879520,1855430
1746,Cattle and Buffaloes,F1746,5111,Stocks,Head,728120,708520,690120,684120,654120,655120,634120,577120,541120,494120,493120,492120,498138,498251,499810,504316,492512,475333,467435,415727,362701
